term,coefficient,std_err,t_stat,p_value,ci_lower,ci_upper,percent_effect_exact,percent_effect_approx,model
"C(EmployerName)[T.University of California, Santa Barbara]",-0.031823242360120796,0.005643229740420904,-5.639189581841699,1.708523505473663e-08,-0.042883769407831084,-0.020762715312410508,-3.132221185260209,-3.1823242360120796,log_regular_pay
"C(EmployerName)[T.University of California, Santa Cruz]",-0.0763422673617532,0.005809597861984665,-13.140714585651766,1.9240116315969182e-39,-0.08772886993590405,-0.06495566478760235,-7.350095809781553,-7.63422673617532,log_regular_pay
C(Year)[T.2011],0.0008686537797537142,0.007519341435004325,0.11552258761783632,0.9080309180002517,-0.013868984620314492,0.015606292179821919,0.08690311687138408,0.08686537797537142,log_regular_pay
C(Year)[T.2012],0.033921000019807274,0.007582029576524518,4.473868068891934,7.68171492534027e-06,0.01906049512010174,0.0487815049195128,3.45028777930132,3.3921000019807273,log_regular_pay
C(Year)[T.2013],0.119430693416146,0.0071506691949193325,16.70203028004756,1.266798929325294e-62,0.10541563932874408,0.1334457475035479,12.685514288032262,11.9430693416146,log_regular_pay
C(Year)[T.2014],0.14145836357054045,0.007158581431778355,19.760669752610326,6.49374161303391e-87,0.1274278017838577,0.1554889253572232,15.195254007161129,14.145836357054046,log_regular_pay
C(Year)[T.2015],0.17090909280289743,0.007182405577683367,23.795522399059916,3.7159946268984134e-125,0.15683183654827842,0.18498634905751643,18.63828933758316,17.090909280289743,log_regular_pay
C(Year)[T.2016],0.2069187447884686,0.007003314805490944,29.545829444398834,7.429383302592339e-192,0.19319249999731022,0.220644989579627,22.9882633347017,20.691874478846863,log_regular_pay
C(Year)[T.2017],0.2410076926129913,0.006979574293900822,34.53042871448457,2.8038303384812474e-261,0.2273279783695241,0.25468740685645846,27.253082435772868,24.100769261299128,log_regular_pay
C(Year)[T.2018],0.2865589098556024,0.006891450013949071,41.581801982975264,0.0,0.2730519160270042,0.3000659036842006,33.18366238864703,28.65589098556024,log_regular_pay
C(Year)[T.2019],0.34875277812840066,0.006807773893134372,51.22860770686248,0.0,0.33540978648296527,0.36209576977383606,41.72987597747137,34.87527781284007,log_regular_pay
C(Year)[T.2020],0.40792208347858466,0.006738658157772851,60.534615932113745,0.0,0.39471455618522283,0.4211296107719465,50.36899943119102,40.79220834785847,log_regular_pay
C(Year)[T.2021],0.4084116936124538,0.006620745193553418,61.68666542402537,0.0,0.3954352714822724,0.4213881157426351,50.44263964315825,40.84116936124538,log_regular_pay
C(Year)[T.2022],-5010115670.812961,10324571865.468176,-0.4852613489543252,0.6274909689449573,-25245904682.926105,15225673341.300182,,-501011567081.2961,log_regular_pay
C(Year)[T.2023],-5010115670.760835,10324571865.46593,-0.485261348949382,0.6274909689484633,-25245904682.86958,15225673341.347912,,-501011567076.0835,log_regular_pay
C(Year)[T.2024],-5010115670.798735,10324571865.466558,-0.4852613489530233,0.6274909689458806,-25245904682.908707,15225673341.31124,,-501011567079.8735,log_regular_pay
post2022,5010115671.249319,10324571865.46658,0.4852613489966643,0.6274909689149278,-15225673340.860697,25245904683.359337,,501011567124.9319,log_regular_pay
