Year,EmployerName,Position,RegularPay,TotalWages
2024,"University of California, Berkeley",Assistant Prof-Ay,55083,55083
2024,"University of California, Berkeley",Assistant Prof-Ay,105833,105833
2024,"University of California, Berkeley",Assistant Prof-Ay,48375,54486
2024,"University of California, Berkeley",Assistant Prof-Ay,111483,127019
2024,"University of California, Berkeley",Assistant Prof-Ay,147467,218225
2024,"University of California, Berkeley",Assistant Prof-Ay,108800,140986
2024,"University of California, Berkeley",Assistant Prof-Ay,160967,160967
2024,"University of California, Berkeley",Assistant Prof-Ay,111483,111483
2024,"University of California, Berkeley",Assistant Prof-Ay,120033,120033
2024,"University of California, Berkeley",Assistant Prof-Ay,131417,131417
2024,"University of California, Berkeley",Assistant Prof-Ay,125483,166383
2024,"University of California, Berkeley",Assistant Prof-Ay,110667,147300
2024,"University of California, Berkeley",Assistant Prof-Ay,110258,177256
2024,"University of California, Berkeley",Assistant Prof-Ay,108800,115273
2024,"University of California, Berkeley",Assistant Prof-Ay,113792,132891
2024,"University of California, Berkeley",Assistant Prof-Ay,95353,111722
2024,"University of California, Berkeley",Assistant Prof-Ay,141267,187400
2024,"University of California, Berkeley",Assistant Prof-Ay,163800,175414
2024,"University of California, Berkeley",Assistant Prof-Ay,116233,155420
2024,"University of California, Berkeley",Assistant Prof-Ay,144717,192617
2024,"University of California, Berkeley",Assistant Prof-Ay,179883,219392
2024,"University of California, Berkeley",Assistant Prof-Ay,116233,117056
2024,"University of California, Berkeley",Assistant Prof-Ay,122317,152265
2024,"University of California, Berkeley",Assistant Prof-Ay,147167,196237
2024,"University of California, Berkeley",Assistant Prof-Ay,147167,192448
2024,"University of California, Berkeley",Assistant Prof-Ay,139458,185521
2024,"University of California, Berkeley",Assistant Prof-Ay,124625,165810
2024,"University of California, Berkeley",Assistant Prof-Ay,144250,192345
2024,"University of California, Berkeley",Assistant Prof-Ay,55000,84560
2024,"University of California, Berkeley",Assistant Prof-Ay,139917,186028
2024,"University of California, Berkeley",Assistant Prof-Ay,104283,138902
2024,"University of California, Berkeley",Assistant Prof-Ay,112617,149869
2024,"University of California, Berkeley",Assistant Prof-Ay,122150,237582
2024,"University of California, Berkeley",Assistant Prof-Ay,128433,156936
2024,"University of California, Berkeley",Assistant Prof-Ay,142133,165876
2024,"University of California, Berkeley",Assistant Prof-Ay,117867,131156
2024,"University of California, Berkeley",Assistant Prof-Ay,109600,133867
2024,"University of California, Berkeley",Assistant Prof-Ay,154917,206519
2024,"University of California, Berkeley",Assistant Prof-Ay,109400,146256
2024,"University of California, Berkeley",Assistant Prof-Ay,136800,232321
